"","A","B","C","D","E","BMI","block"
"1","-1","-1","-1","-1","-1",37.23,1
"2","-1","-1","-1","-1","1",32.92,2
"3","-1","-1","-1","1","-1",36.58,2
"4","-1","-1","-1","1","1",34.46,1
"5","-1","-1","1","-1","-1",29.29,2
"6","-1","-1","1","-1","1",28.19,1
"7","-1","-1","1","1","-1",34.95,1
"8","-1","-1","1","1","1",24.85,2
"9","-1","1","-1","-1","-1",25.06,2
"10","-1","1","-1","-1","1",23.89,1
"11","-1","1","-1","1","-1",23.4,1
"12","-1","1","-1","1","1",21.79,2
"13","-1","1","1","-1","-1",35.43,1
"14","-1","1","1","-1","1",35.26,2
"15","-1","1","1","1","-1",28.13,2
"16","-1","1","1","1","1",27.12,1
"17","1","-1","-1","-1","-1",31.64,2
"18","1","-1","-1","-1","1",33.91,1
"19","1","-1","-1","1","-1",30.13,1
"20","1","-1","-1","1","1",20.25,2
"21","1","-1","1","-1","-1",48.42,1
"22","1","-1","1","-1","1",38.01,2
"23","1","-1","1","1","-1",26.16,2
"24","1","-1","1","1","1",27.71,1
"25","1","1","-1","-1","-1",31.09,1
"26","1","1","-1","-1","1",31.31,2
"27","1","1","-1","1","-1",23.69,2
"28","1","1","-1","1","1",33.45,1
"29","1","1","1","-1","-1",31.57,2
"30","1","1","1","-1","1",19.67,1
"31","1","1","1","1","-1",49.57,1
"32","1","1","1","1","1",29.57,2
